data_publicacao;uf;municipio;orgao;modalidade;itens_servidor;valor_estimado;no_grupo_1bit;numero_controle_pncp;link_pncp;link_portal_origem
2026-08-03;MS;Nova Andradina;Municipio De Nova Andradina;Pregão - Eletrônico;1;43275,18;nao;03173317000118-1-000078/2026;https://pncp.gov.br/app/editais/03173317000118/2026/78;
2026-08-03;ES;Vitória;Secretaria De Estado De Gestao E Recursos Humanos;Leilão - Eletrônico;2;3600,00;nao;07162270000148-1-000033/2026;https://pncp.gov.br/app/editais/07162270000148/2026/33;
2026-07-31;SP;Bragança Paulista;Braganca Paulista Camara Municipal;Dispensa;3;32897,37;nao;47015532000166-1-000008/2026;https://pncp.gov.br/app/editais/47015532000166/2026/8;
2026-07-31;MG;Sete Lagoas;Sete Lagoas Camara Municipal;Dispensa;1;4481,91;nao;19781236000130-1-000095/2026;https://pncp.gov.br/app/editais/19781236000130/2026/95;
2026-07-31;MG;Madre De Deus De Minas;Municipio De Madre De Deus De Minas;Dispensa;1;7169,83;nao;18029371000161-1-000053/2026;https://pncp.gov.br/app/editais/18029371000161/2026/53;
2026-07-30;GO;Trindade;Municipio De Trindade;Pregão - Eletrônico;2;65306,90;nao;01217538000115-1-000112/2026;https://pncp.gov.br/app/editais/01217538000115/2026/112;https://www.portaldecompraspublicas.com.br/processos/GO/Prefeitura-Municipal-de-Trindade-1042/RPE-013-2026-2026-499906
2026-07-30;SP;Piracicaba;Municipio De Piracicaba;Pregão - Eletrônico;1;2839058,96;nao;46341038000129-1-000485/2026;https://pncp.gov.br/app/editais/46341038000129/2026/485;https://bnccompras.com/Process/ProcessView?param1=[gkz]AJwHiwCP1tLnhEKEcEx/HN6_76JYSG2mh96HkcF/ghLavYwIjbnQ329WIJy51DaP5og_CM2Y_RqItmXHjLWS_eaXBerSYv9QHHbigiKK_lE=
2026-07-30;PR;Nova Aurora;Municipio De Nova Aurora;Pregão - Eletrônico;1;460000,00;nao;76208859000152-1-000087/2026;https://pncp.gov.br/app/editais/76208859000152/2026/87;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98796505000032026
2026-07-30;AP;Cutias;Municipio De Cutias;Pregão - Eletrônico;1;2874,00;nao;34925198000136-1-000010/2026;https://pncp.gov.br/app/editais/34925198000136/2026/10;https://licitanet.com.br/sessao/195289
2026-07-29;RN;Parnamirim;Camara Municipal De Parnamirim;Pregão - Eletrônico;1;1600,50;nao;09116070000184-1-000023/2026;https://pncp.gov.br/app/editais/09116070000184/2026/23;
2026-07-29;RS;Parobé;Municipio De Parobe;Pregão - Eletrônico;2;359705,82;nao;88372883000101-1-000233/2026;https://pncp.gov.br/app/editais/88372883000101/2026/233;
2026-07-29;PB;Belém;Municipio De Belem;Dispensa;1;43599,96;nao;08928517000157-1-000086/2026;https://pncp.gov.br/app/editais/08928517000157/2026/86;
2026-07-28;RJ;Campos Dos Goytacazes;Municipio De Campos Dos Goytacazes;Pregão - Eletrônico;2;;nao;29116894000161-1-000034/2026;https://pncp.gov.br/app/editais/29116894000161/2026/34;https://licitanet.com.br/sessao/195428
2026-07-28;MG;Catas Altas Da Noruega;Municipio De Catas Altas Da Noruega;Pregão - Eletrônico;1;7297,85;nao;19718378000153-1-000055/2026;https://pncp.gov.br/app/editais/19718378000153/2026/55;https://catasaltasdanoruega.licitapp.com.br/
2026-07-28;RN;Natal;Rio Grande Do Norte Procuradoria Geral Do Estado;Pregão - Eletrônico;1;1368490,00;nao;08286940000109-1-000009/2026;https://pncp.gov.br/app/editais/08286940000109/2026/9;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92577405000672026
